participant_id,completed_both,crossover_order,first_session_is_high_tempo,audio_s1,audio_s2,plank_s1,plank_s2,plank_high_tempo,plank_low_tempo,diff_high_minus_low,elapsed_sessions_hours,participant_age,participant_gender,participant_locale,participant_group_index,participant_group_label,participant_sessions_completed,participant_registered_at,participant_session1_planned_at,participant_session2_planned_at,post_comments_present_s1,post_comments_present_s2,post_form_quality_s1,post_form_quality_s2,post_headphones_s1,post_headphones_s2,post_instructions_ease_s2,post_music_effect_overall_s2,post_music_effect_s1,post_overall_experience_s2,post_plank_pause_detail_present_s1,post_plank_pause_detail_present_s2,post_plank_pause_s1,post_plank_pause_s2,post_rpe_s1,post_rpe_s2,post_volume_clear_s1,post_volume_clear_s2,pre_activity_level_s1,pre_activity_type_s1,pre_energy_pre_plank_s1,pre_energy_pre_plank_s2,pre_motivation_pre_plank_s1,pre_motivation_pre_plank_s2,pre_music_liking_s1,pre_music_liking_s2,pre_plank_frequency_s1
ac99d716-c387-4f1f-b138-746dd7ac1d0d,1,high_tempo_first,1,high_tempo,low_tempo,40.959,36.683,40.959,36.683,4.276,24.192889166673,12,male,es,1,trancepop,2,2026-03-30T01:55:32.291Z,2026-03-30T01:55:00Z,2026-03-31T02:07:00Z,,,4,4,0,0,4,2,,4,,,0,0,5,6,1,1,1,21,4,5,3,4,5,4,1
aece9a10-2a4a-4162-b9fb-d586ed03d6aa,1,high_tempo_first,1,high_tempo,low_tempo,26.5,42.923,26.5,42.923,-16.423,41.1810130555762,21,male,en,1,trancepop,2,2026-04-04T05:02:23.098Z,2026-04-04T05:01:00Z,2026-04-05T17:00:00Z,,,3,3,0,0,5,4,,5,,,0,0,9,8,1,1,1,29,4,6,5,7,7,4,1
b72edc09-d650-4d03-a6af-9ea25fe06790,1,low_tempo_first,0,low_tempo,high_tempo,182.437,183.504,183.504,182.437,1.06699999999998,71.5610633333524,32,female,en,0,poptrance,2,2026-03-30T17:08:07.243Z,2026-03-30T17:10:00Z,2026-03-31T21:45:00Z,,,3,3,1,1,5,2,,3,,,0,0,5,6,1,1,4,4,2,3,5,5,1,3,1
bb46ead6-3acb-4e5f-81dd-4242516264c3,1,low_tempo_first,0,low_tempo,high_tempo,123.907,151.713,151.713,123.907,27.806,25.2397597222196,46,male,es,0,poptrance,2,2026-03-30T02:47:39.994Z,2026-03-30T02:47:00Z,,,,3,3,0,0,5,4,,5,,,0,0,10,10,1,1,4,20,5,4,4,5,6,7,1
c266af79-26ee-4f62-b16d-6966fe0bf58b,1,low_tempo_first,0,low_tempo,high_tempo,90.812,97.952,97.952,90.812,7.14,25.1481786111328,53,male,es,0,poptrance,2,2026-04-07T01:13:31.553Z,2026-04-07T02:09:00Z,2026-04-10T01:34:00Z,,,3,4,0,0,4,4,,5,,,0,0,8,9,1,1,2,12,6,7,5,6,7,6,1
c3bde108-9dc0-49c2-936b-5dafc461abee,1,low_tempo_first,0,low_tempo,high_tempo,63.473,90.99,90.99,63.473,27.517,23.2008377777868,38,female,es,0,poptrance,2,2026-03-30T03:36:23.365Z,2026-03-31T03:40:00Z,2026-04-01T02:30:00Z,1,1,3,3,1,1,5,5,,5,,,0,0,7,9,1,1,1,3,4,5,3,3,6,7,1
c4b58ebd-ff0e-40ae-87e7-32034d6473f4,1,high_tempo_first,1,high_tempo,low_tempo,50.413,56.483,50.413,56.483,-6.07,109.171912777755,37,male,en,1,trancepop,2,2026-04-02T03:49:17.629Z,2026-04-02T03:48:00Z,2026-04-04T03:54:00Z,,,3,3,1,1,4,3,,5,1,,1,0,4,5,1,1,2,24,4,5,4,5,4,5,2
cd219427-2048-4131-920e-9fdd00393e03,1,high_tempo_first,1,high_tempo,low_tempo,132.271,109.122,132.271,109.122,23.149,49.0188436110815,29,male,en,1,trancepop,2,2026-03-28T04:36:00.780Z,2026-03-28T05:34:00Z,2026-03-29T06:40:00Z,,,3,3,1,1,5,4,,5,,,0,0,8,7,1,1,4,25,5,5,6,5,6,3,2
d9c3087a-217c-45b8-a109-af63149d11f6,1,low_tempo_first,0,low_tempo,high_tempo,98.552,162.785,162.785,98.552,64.233,32.3447141666545,47,male,es,0,poptrance,2,2026-04-04T19:07:34.671Z,2026-04-05T19:07:00Z,,,,4,4,0,0,5,3,,3,,,0,0,7,5,1,1,4,2,3,4,3,4,3,4,1
e37529ef-5a03-4828-a0ff-09479187931f,0,high_tempo_first,1,high_tempo,,19.849,,19.849,,,,24,female,en,1,trancepop,1,2026-04-04T23:27:04.913Z,2026-04-05T12:25:00Z,2026-04-07T00:30:00Z,,,1,,0,,,,,,,,0,,5,,1,,1,30,5,,5,,6,,1
ecca814e-779f-4c3f-bf37-ce9b6089e563,1,low_tempo_first,0,low_tempo,high_tempo,63.049,70.492,70.492,63.049,7.44300000000001,24.2462011110783,26,male,en,0,poptrance,2,2026-04-05T16:11:02.218Z,2026-04-05T17:10:00Z,2026-04-06T17:18:00Z,,,3,4,1,1,5,5,,5,,,0,0,9,10,1,1,2,28,5,6,5,6,4,6,1
ee70c559-57cb-47cc-88e1-be3ab8256ced,0,high_tempo_first,1,high_tempo,,185.003,,185.003,,,,30,male,en,1,trancepop,1,2026-03-31T07:55:28.385Z,2026-03-31T08:53:00Z,2026-04-02T08:00:00Z,,,3,,1,,,,,,,,0,,10,,1,,2,27,5,,6,,6,,1
eec4e9a5-8d2d-42d3-8958-4f1fd34994fd,1,low_tempo_first,0,low_tempo,high_tempo,45.206,51.338,51.338,45.206,6.132,26.5178819444444,30,female,en,0,poptrance,2,2026-03-30T02:02:14.305Z,2026-03-30T02:05:00Z,2026-03-31T02:15:00Z,,,3,3,0,0,4,4,,4,,,0,0,5,6,1,1,1,,3,7,3,7,4,7,1
